doc,row_index,judge,metric,n,mean,stdev,minimum,maximum,value_range
attention,7,kimi,answer_relevancy,3,0.496785,0.021358,0.484454,0.521446,0.036992
attention,7,openai,answer_relevancy,3,0.744672,0.0,0.744672,0.744672,0.0
attention,19,kimi,answer_relevancy,3,0.546882,0.004019,0.544561,0.551522,0.006961
attention,19,openai,answer_relevancy,3,0.48406,0.027658,0.456402,0.511718,0.055315
ddia,3,kimi,answer_relevancy,3,0.874449,0.009288,0.863729,0.880095,0.016365
ddia,3,openai,answer_relevancy,3,0.885649,0.001798,0.884611,0.887725,0.003114
ddia,26,kimi,answer_relevancy,3,0.823172,0.006083,0.817079,0.829245,0.012167
ddia,26,openai,answer_relevancy,3,0.817106,1.2e-05,0.817099,0.817119,2e-05
product_analytics,3,kimi,answer_relevancy,3,0.93803,0.011894,0.928106,0.951214,0.023107
product_analytics,3,openai,answer_relevancy,3,0.93185,3.8e-05,0.931806,0.931872,6.7e-05
product_analytics,20,kimi,answer_relevancy,3,1.0,0.0,1.0,1.0,0.0
product_analytics,20,openai,answer_relevancy,3,1.0,0.0,1.0,1.0,0.0
attention,7,kimi,context_precision,3,0.916667,0.0,0.916667,0.916667,0.0
attention,7,openai,context_precision,3,1.0,0.0,1.0,1.0,0.0
attention,19,kimi,context_precision,3,1.0,0.0,1.0,1.0,0.0
attention,19,openai,context_precision,3,1.0,0.0,1.0,1.0,0.0
ddia,3,kimi,context_precision,3,1.0,0.0,1.0,1.0,0.0
ddia,3,openai,context_precision,3,1.0,0.0,1.0,1.0,0.0
ddia,26,kimi,context_precision,3,1.0,0.0,1.0,1.0,0.0
ddia,26,openai,context_precision,3,1.0,0.0,1.0,1.0,0.0
product_analytics,3,kimi,context_precision,3,1.0,0.0,1.0,1.0,0.0
product_analytics,3,openai,context_precision,3,1.0,0.0,1.0,1.0,0.0
product_analytics,20,kimi,context_precision,3,1.0,0.0,1.0,1.0,0.0
product_analytics,20,openai,context_precision,3,1.0,0.0,1.0,1.0,0.0
attention,7,kimi,context_recall,3,1.0,0.0,1.0,1.0,0.0
attention,7,openai,context_recall,3,1.0,0.0,1.0,1.0,0.0
attention,19,kimi,context_recall,3,1.0,0.0,1.0,1.0,0.0
attention,19,openai,context_recall,3,1.0,0.0,1.0,1.0,0.0
ddia,3,kimi,context_recall,3,1.0,0.0,1.0,1.0,0.0
ddia,3,openai,context_recall,3,1.0,0.0,1.0,1.0,0.0
ddia,26,kimi,context_recall,3,1.0,0.0,1.0,1.0,0.0
ddia,26,openai,context_recall,3,1.0,0.0,1.0,1.0,0.0
product_analytics,3,kimi,context_recall,3,1.0,0.0,1.0,1.0,0.0
product_analytics,3,openai,context_recall,3,1.0,0.0,1.0,1.0,0.0
product_analytics,20,kimi,context_recall,3,1.0,0.0,1.0,1.0,0.0
product_analytics,20,openai,context_recall,3,1.0,0.0,1.0,1.0,0.0
attention,7,kimi,faithfulness,3,1.0,0.0,1.0,1.0,0.0
attention,7,openai,faithfulness,3,0.583333,0.144338,0.5,0.75,0.25
attention,19,kimi,faithfulness,3,1.0,0.0,1.0,1.0,0.0
attention,19,openai,faithfulness,3,1.0,0.0,1.0,1.0,0.0
ddia,3,kimi,faithfulness,3,1.0,0.0,1.0,1.0,0.0
ddia,3,openai,faithfulness,3,1.0,0.0,1.0,1.0,0.0
ddia,26,kimi,faithfulness,3,0.3,0.173205,0.2,0.5,0.3
ddia,26,openai,faithfulness,3,0.555556,0.3849,0.333333,1.0,0.666667
product_analytics,3,kimi,faithfulness,3,1.0,0.0,1.0,1.0,0.0
product_analytics,3,openai,faithfulness,3,1.0,0.0,1.0,1.0,0.0
product_analytics,20,kimi,faithfulness,3,0.0,0.0,0.0,0.0,0.0
product_analytics,20,openai,faithfulness,3,1.0,0.0,1.0,1.0,0.0
