doc,case_id,judge,replicate,verdict,mapped_faithful,confidence,n_unsupported,n_contradiction,n_relational,insufficient
ddia,1,kimi,1,supported,1,1.0000,0,0,0,0
ddia,2,kimi,1,supported,1,1.0000,0,0,0,0
attention,3,kimi,1,supported,1,1.0000,0,0,0,0
attention,4,kimi,1,supported,1,1.0000,0,0,0,0
product_analytics,5,kimi,1,supported,1,1.0000,0,0,0,0
product_analytics,6,kimi,1,supported,1,1.0000,0,0,0,0
ddia,7,kimi,1,partially_supported,0,0.9500,1,0,0,0
ddia,8,kimi,1,partially_supported,0,0.9500,1,0,0,0
attention,9,kimi,1,partially_supported,0,0.9500,1,0,0,0
attention,10,kimi,1,partially_supported,0,0.9000,1,0,0,0
product_analytics,11,kimi,1,partially_supported,0,0.9500,1,0,0,0
product_analytics,12,kimi,1,unsupported,0,1.0000,1,0,0,0
ddia,13,kimi,1,partially_supported,0,0.9500,1,0,1,0
attention,14,kimi,1,partially_supported,0,0.9500,1,0,1,0
attention,15,kimi,1,unsupported,0,1.0000,1,1,1,0
ddia,16,kimi,1,supported,1,1.0000,0,0,0,0
attention,17,kimi,1,supported,1,1.0000,0,0,0,0
product_analytics,18,kimi,1,unsupported,0,1.0000,2,2,2,0
ddia,19,kimi,1,supported,1,1.0000,0,0,0,0
attention,20,kimi,1,partially_supported,0,0.9000,2,0,0,0
ddia,21,kimi,1,supported,1,1.0000,0,0,0,0
ddia,22,kimi,1,unsupported,0,1.0000,1,0,0,0
attention,23,kimi,1,unsupported,0,1.0000,1,0,0,0
attention,24,kimi,1,supported,1,1.0000,0,0,0,0
ddia,1,kimi,2,supported,1,1.0000,0,0,0,0
ddia,2,kimi,2,supported,1,1.0000,0,0,0,0
attention,3,kimi,2,supported,1,1.0000,0,0,0,0
attention,4,kimi,2,supported,1,1.0000,0,0,0,0
product_analytics,5,kimi,2,supported,1,1.0000,0,0,0,0
product_analytics,6,kimi,2,supported,1,1.0000,0,0,0,0
ddia,7,kimi,2,partially_supported,0,0.9500,1,0,0,0
ddia,8,kimi,2,partially_supported,0,0.9500,1,0,0,0
attention,9,kimi,2,partially_supported,0,0.9500,1,0,0,0
attention,10,kimi,2,partially_supported,0,0.9000,1,0,0,0
product_analytics,11,kimi,2,partially_supported,0,0.9500,1,0,0,0
product_analytics,12,kimi,2,partially_supported,0,0.9000,1,0,0,0
ddia,13,kimi,2,partially_supported,0,0.9000,1,0,1,0
attention,14,kimi,2,partially_supported,0,0.9500,1,0,1,0
