doc,row_index,judge,replicate,metric,value
product_analytics,20,kimi,1,faithfulness,0.0
product_analytics,20,kimi,1,answer_relevancy,0.9999996960965108
product_analytics,20,kimi,1,context_precision,0.9999999999
product_analytics,20,kimi,1,context_recall,1.0
product_analytics,3,kimi,1,faithfulness,1.0
product_analytics,3,kimi,1,answer_relevancy,0.95121388229914
product_analytics,3,kimi,1,context_precision,0.9999999999666667
product_analytics,3,kimi,1,context_recall,1.0
ddia,26,kimi,1,faithfulness,0.2
ddia,26,kimi,1,answer_relevancy,0.8292451988195128
ddia,26,kimi,1,context_precision,0.999999999975
ddia,26,kimi,1,context_recall,1.0
ddia,3,kimi,1,faithfulness,1.0
ddia,3,kimi,1,answer_relevancy,0.8800945979505438
ddia,3,kimi,1,context_precision,0.9999999999
ddia,3,kimi,1,context_recall,1.0
attention,7,kimi,1,faithfulness,1.0
attention,7,kimi,1,answer_relevancy,0.5214462640211676
attention,7,kimi,1,context_precision,0.9166666666361111
attention,7,kimi,1,context_recall,1.0
attention,19,kimi,1,faithfulness,1.0
attention,19,kimi,1,answer_relevancy,0.5445611936216745
attention,19,kimi,1,context_precision,0.9999999999
attention,19,kimi,1,context_recall,1.0
product_analytics,20,kimi,2,faithfulness,0.0
product_analytics,20,kimi,2,answer_relevancy,0.9999996960965108
product_analytics,20,kimi,2,context_precision,0.9999999999
product_analytics,20,kimi,2,context_recall,1.0
product_analytics,3,kimi,2,faithfulness,1.0
product_analytics,3,kimi,2,answer_relevancy,0.9281064174734223
product_analytics,3,kimi,2,context_precision,0.9999999999666667
product_analytics,3,kimi,2,context_recall,1.0
ddia,26,kimi,2,faithfulness,0.5
ddia,26,kimi,2,answer_relevancy,0.8231925474573237
ddia,26,kimi,2,context_precision,0.999999999975
ddia,26,kimi,2,context_recall,1.0
ddia,3,kimi,2,faithfulness,1.0
ddia,3,kimi,2,answer_relevancy,0.8637291752942727
ddia,3,kimi,2,context_precision,0.9999999999
ddia,3,kimi,2,context_recall,1.0
attention,7,kimi,2,faithfulness,1.0
attention,7,kimi,2,answer_relevancy,0.4844538903972229
attention,7,kimi,2,context_precision,0.9166666666361111
attention,7,kimi,2,context_recall,1.0
attention,19,kimi,2,faithfulness,1.0
attention,19,kimi,2,answer_relevancy,0.5515224807458393
attention,19,kimi,2,context_precision,0.9999999999
attention,19,kimi,2,context_recall,1.0
product_analytics,20,kimi,3,faithfulness,0.0
product_analytics,20,kimi,3,answer_relevancy,1.0
product_analytics,20,kimi,3,context_precision,0.9999999999
product_analytics,20,kimi,3,context_recall,1.0
product_analytics,3,kimi,3,faithfulness,1.0
product_analytics,3,kimi,3,answer_relevancy,0.9347685031217076
product_analytics,3,kimi,3,context_precision,0.9999999999666667
product_analytics,3,kimi,3,context_recall,1.0
ddia,26,kimi,3,faithfulness,0.2
ddia,26,kimi,3,answer_relevancy,0.8170786047905864
ddia,26,kimi,3,context_precision,0.999999999975
ddia,26,kimi,3,context_recall,1.0
ddia,3,kimi,3,faithfulness,1.0
ddia,3,kimi,3,answer_relevancy,0.8795243408292411
ddia,3,kimi,3,context_precision,0.9999999999
ddia,3,kimi,3,context_recall,1.0
attention,7,kimi,3,faithfulness,1.0
attention,7,kimi,3,answer_relevancy,0.4844538903972229
attention,7,kimi,3,context_precision,0.9166666666361111
attention,7,kimi,3,context_recall,1.0
attention,19,kimi,3,faithfulness,1.0
attention,19,kimi,3,answer_relevancy,0.5445611936216745
attention,19,kimi,3,context_precision,0.9999999999
attention,19,kimi,3,context_recall,1.0
product_analytics,20,openai,1,faithfulness,1.0
product_analytics,20,openai,1,answer_relevancy,1.0
product_analytics,20,openai,1,context_precision,0.9999999999
product_analytics,20,openai,1,context_recall,1.0
product_analytics,3,openai,1,faithfulness,1.0
product_analytics,3,openai,1,answer_relevancy,0.9318724063822893
product_analytics,3,openai,1,context_precision,0.99999999998
product_analytics,3,openai,1,context_recall,1.0
ddia,26,openai,1,faithfulness,0.3333333333333333
ddia,26,openai,1,answer_relevancy,0.8170990396924581
ddia,26,openai,1,context_precision,0.99999999998
ddia,26,openai,1,context_recall,1.0
ddia,3,openai,1,faithfulness,1.0
ddia,3,openai,1,answer_relevancy,0.8877251863122163
ddia,3,openai,1,context_precision,0.9999999999
ddia,3,openai,1,context_recall,1.0
attention,7,openai,1,faithfulness,0.75
attention,7,openai,1,answer_relevancy,0.744671772526774
attention,7,openai,1,context_precision,0.99999999998
attention,7,openai,1,context_recall,1.0
attention,19,openai,1,faithfulness,1.0
attention,19,openai,1,answer_relevancy,0.4840599315029701
attention,19,openai,1,context_precision,0.9999999999
attention,19,openai,1,context_recall,1.0
product_analytics,20,openai,2,faithfulness,1.0
product_analytics,20,openai,2,answer_relevancy,1.0
product_analytics,20,openai,2,context_precision,0.9999999999
product_analytics,20,openai,2,context_recall,1.0
product_analytics,3,openai,2,faithfulness,1.0
product_analytics,3,openai,2,answer_relevancy,0.9318057321749649
product_analytics,3,openai,2,context_precision,0.99999999998
product_analytics,3,openai,2,context_recall,1.0
ddia,26,openai,2,faithfulness,0.3333333333333333
ddia,26,openai,2,answer_relevancy,0.8170990396924581
ddia,26,openai,2,context_precision,0.99999999998
ddia,26,openai,2,context_recall,1.0
ddia,3,openai,2,faithfulness,1.0
ddia,3,openai,2,answer_relevancy,0.884610907347685
ddia,3,openai,2,context_precision,0.9999999999
ddia,3,openai,2,context_recall,1.0
attention,7,openai,2,faithfulness,0.5
attention,7,openai,2,answer_relevancy,0.744671772526774
attention,7,openai,2,context_precision,0.99999999998
attention,7,openai,2,context_recall,1.0
attention,19,openai,2,faithfulness,1.0
attention,19,openai,2,answer_relevancy,0.4564022803294863
attention,19,openai,2,context_precision,0.9999999999
attention,19,openai,2,context_recall,1.0
product_analytics,20,openai,3,faithfulness,1.0
product_analytics,20,openai,3,answer_relevancy,1.0
product_analytics,20,openai,3,context_precision,0.9999999999
product_analytics,20,openai,3,context_recall,1.0
product_analytics,3,openai,3,faithfulness,1.0
product_analytics,3,openai,3,answer_relevancy,0.9318724063822893
product_analytics,3,openai,3,context_precision,0.99999999998
product_analytics,3,openai,3,context_recall,1.0
ddia,26,openai,3,faithfulness,1.0
ddia,26,openai,3,answer_relevancy,0.8171191994186003
ddia,26,openai,3,context_precision,0.99999999998
ddia,26,openai,3,context_recall,1.0
ddia,3,openai,3,faithfulness,1.0
ddia,3,openai,3,answer_relevancy,0.884610907347685
ddia,3,openai,3,context_precision,0.9999999999
ddia,3,openai,3,context_recall,1.0
attention,7,openai,3,faithfulness,0.5
attention,7,openai,3,answer_relevancy,0.744671772526774
attention,7,openai,3,context_precision,0.99999999998
